cluster,gene,prop_mal,prop_norm,mean_mal,mean_norm,p_prop,p_expr,p_combined,fdr_prop,fdr_expr,fdr_combined,sample
2,FLT3,0,0.2044985004998334,0,0.13428118909796616,1,0.999997650253003,0.999999074389311,1,1,1,POG590_2
2,CDK6,0,0.10099966677774075,0,0.0584697514441896,1,0.9988458982426214,0.9995453769113147,1,1,1,POG590_2
2,TNFRSF8,0,0.029456847717427525,0,0.01661063565845579,1,0.9437287853697905,0.9778181333514591,1,1,1,POG590_2
2,CHEK1,0.012048192771084338,0.035654781739420195,0.01303566908166866,0.026630830365710366,0.9508053318722949,0.873701214804897,0.9050185899054239,1,1,1,POG590_2
2,MAGEA4,0,0.03162279240253249,0,0.02033529993281159,1,0.9501147924199633,0.9803384243679443,1,1,1,POG590_2
2,FGFR3,0,0.0018327224258580473,0,6.949692485120505e-4,1,0.6519003723668829,0.8589536019062469,1,1,1,POG590_2
2,YAP1,0.20481927710843373,0.7348217260913029,0.39432974631152473,0.8381701974104122,1,0.9999999999895343,0.9999999999958773,1,1,1,POG590_2
2,LAG3,0,0.3073975341552816,0,0.21657207413069995,1,0.9999999985135941,0.9999999994144759,1,1,1,POG590_2
2,EZHIP,0,0.0012329223592135955,0,5.214792050421102e-4,1,0.6255879509814547,0.8475765978757639,1,1,1,POG590_2
2,PRAME,0,0.0299566811062979,0,0.0414373618871859,1,0.9452758253219825,0.9784287910388272,1,1,1,POG590_2
2,DLL3,0,0.008163945351549483,0,0.005739159250753327,1,0.7957562843175425,0.9187858045226749,1,1,1,POG590_2
2,PDGFRA,0,0.09850049983338888,0,0.061182570140432616,1,0.998674723460264,0.9994779477922457,1,1,1,POG590_2
2,S100P,0.1566265060240964,0.7908697100966344,0.3308005758580206,1.0491060195888169,1,1,1,1,1,1,POG590_2
2,AR,0.024096385542168676,0.03142285904698434,0.06159515326932538,0.02385900069016628,0.7391901834339585,0.6342261241373216,0.905603719610778,1,1,1,POG590_2
2,MKI67,0.03614457831325301,0.19043652115961346,0.0641913837683736,0.17197439784080457,0.9999948426062668,0.9996869065137928,0.9998719260380906,1,1,1,POG590_2
2,PTGS2,0,0.1644118627124292,0,0.1183469457523745,1,0.9999707225963792,0.9999884670656993,1,1,1,POG590_2
2,CTAG1B,0,0.10299900033322226,0,0.06194247866231468,1,0.9989670820623573,0.9995931135944984,1,1,1,POG590_2
2,PDGFRB,0,0.6319226924358547,0,0.6121019331784523,1,1,1,1,1,1,POG590_2
2,NT5E,0,0.14518493835388205,0,0.098582314675628,1,0.9999074128218218,0.9999635281236454,1,1,1,POG590_2
