expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
increased	MET	prognostic indicator	patient	gastroesophageal junction adenocarcinoma	increased protein expression	#155:7931	pmid:21543897	NA	iprkb	ac12701f-a43a-442b-be24-7509b504a4c0	#29:0	pending
increased	CD274	sensitivity	nivolumab [DB09035]	non-small cell lung carcinoma	increased protein expression	#155:7932	pmid:28529902	NA	iprkb	94b93d91-3715-4828-96fc-1cc39444a408	#29:0	pending
increased	IFNG	favourable prognosis	patient	pancreatic cancer	increased protein expression	#155:7935	pmid:22419253	NA	iprkb	177d88e8-110a-4c15-9639-9fef142e33f7	#29:0	pending
increased	ERBB2	resistance	monotherapy trastuzumab	breast cancer	increased RNA expression	#155:7954	pmid:17096862	NA	iprkb	92ba2732-f865-474e-a752-4ec9e30224fb	#29:0	pending
reduced	ERCC1	favourable prognosis	patient	colorectal cancer	reduced RNA expression	#155:8246	pmid:26083491	NA	iprkb	cde32424-8978-4279-a401-04624dfc643a	#29:0	pending
reduced	CRBN	resistance	pomalidomide [DB08910]	myeloma	underexpression	#155:8731	pmid:21860026	CGI Case report	cancer genome interpreter	7c9e7af5c1647e8556b1f725fb92d71d	#29:0	NA
increased	ERBB2	response	trastuzumab [DB00072]	breast adenocarcinoma	overexpression	#155:8738	NA	CGI FDA guidelines	cancer genome interpreter	6fd5b9dcd8004687ec05596ac93e718d	#29:0	NA
increased	FOLR1	sensitivity	imgn853 [c102566]	endometrial carcinoma	increased RNA expression	#155:9565	NA	PROFYLE T3	Null	NA	#30:14	NA
increased	PGR	sensitivity	medroxyprogesterone acetate+paraplatin+paclitaxel	ovarian epithelial tumor	increased expression	#155:9567	pmid:18592789	OncoKB 4	Null	NA	#29:1	NA
increased	ESR1	sensitivity	letrozole [DB01006]	ovarian cancer, other	increased expression	#155:9568	pmid:12114425	OncoKB 3A	Null	NA	#29:1	NA
increased	DPYD	resistance	fluorouracil [DB00544]	colorectal adenocarcinoma	increased expression	#155:9570	pmid:17179731	OncoKB 4	Null	NA	#29:1	NA
increased	SIRT1	resistance	Niacinamide [c2327]	pancreatic cancer	overexpression	#155:9646	pmid:24088390	CIViC D1	civic	1294	#29:0	not required
increased	AKT3	sensitivity	Pan-AKT Kinase Inhibitor GSK690693 [c71711]	triple-receptor negative breast cancer	overexpression	#155:9658	pmid:24335962	CIViC E4	civic	1923	#29:0	not required
increased	CTAG2	sensitivity	Autologous Anti-NY-ESO-1/LAGE-1 TCR-transduced c259 T Lymphocytes GSK3377794 [c121379]	multiple myeloma	overexpression	#155:9661	pmid:26193344	CIViC B3	civic	2941	#29:0	not required
increased	ZEB1	resistance	oxaliplatin [DB00526]	colon cancer	increased expression	#155:9725	pmid:29151941	PROFYLE T4	Null	NA	#30:3	NA
increased	TBX21	favourable prognosis	colorectal cancer [DOID:9256]	colorectal cancer	increased RNA expression	#155:9730	pmid:17008531	NA	Null	NA	#30:0	NA
increased	CLDN4	sensitivity	C-CPE + carboplatin	ovary epithelial cancer	increased RNA expression	#155:9735	pmid:21123456	NA	Null	NA	#30:0	NA
